epizoda,reziser
5163494,Edward Bazalgette
5164772,Greg Nicotero
5170842,Julian Jarrold
5174246,Tom McCarthy
5174248,Tom McCarthy
5174250,Helen Shaver
5174252,Helen Shaver
5174254,Kyle Patrick Alvarez
5174260,Kyle Patrick Alvarez
5174262,Gregg Araki
5174264,Gregg Araki
5174266,Carl Franklin
5174270,Carl Franklin
5174272,Jessica Yu
5174274,Jessica Yu
5174280,Kyle Patrick Alvarez
5176286,Cherie Nowlan
5181372,Roger Kumble
5181374,Anton Cropper
5193130,Matthew Weiner
5193132,Adam Bernstein
5194600,Bradley Buecker
5207722,Greg Nicotero
5207726,Alrick Riley
5207730,David Boyd
5207732,Darnell Martin
5207734,Michael E. Satrazemis
5207738,Rosemary Rodriguez
5207740,Michael E. Satrazemis
5207746,Greg Nicotero
5207750,Jeffrey F. January
5207754,Kari Skogland
5207756,Greg Nicotero
5207758,Alrick Riley
5207764,Michael E. Satrazemis
5207766,Michael Slovis
5207772,Greg Nicotero
5215742,Kevin Smith
5215750,Jesse Warn
5215758,Antonio Negret
5218228,Juan Jose Meza-Leon
5218228,Wesley Archer
5218256,Dominic Polcino
5218256,Wesley Archer
5218268,Anthony Chun
5218268,Wesley Archer
5218288,Bryan Newton
5218288,Wesley Archer
5218310,Juan Jose Meza-Leon
5218310,Wesley Archer
5218318,Anthony Chun
5218318,Wesley Archer
5218332,Dominic Polcino
5218332,Wesley Archer
5218334,Stefan Schwartz
5218350,Bryan Newton
5218350,Wesley Archer
5218358,Michael Uppendahl
5218370,Juan Jose Meza-Leon
5218370,Wesley Archer
5218374,Craig Zisk
5218386,Anthony Chun
5218386,Wesley Archer
5218388,Kate Dennis
5218406,Andrew Bernstein
5218418,Daniel Sackheim
5218430,Deborah Chow
5218434,Mike Hollingsworth
5218442,Michael McDonough
5218476,Stefan Schwartz
5218488,JC Gonzalez
5220026,Michelle MacLaren
5223488,Noah Hawley
5229638,Jonathan Nolan
5236114,Evan Goldberg
5236114,Seth Rogen
5236130,Guillermo Navarro
5236798,Shingo Natsume
5236798,Shun'ichi Yoshizawa
5238510,Larry Teng
5238952,Nick Gomez
5242352,Philip Martin
5242868,P.J. Pesce
5251466,Jean-Marc Vallée
5251470,Jean-Marc Vallée
5254184,Benjamin Caron
5257562,Shingo Natsume
5257562,Yosuke Hatta
5262534,Mimi Leder
5271822,Shingo Natsume
5273758,Michael Uppendahl
5273760,John Cameron
5273762,Michael Uppendahl
5273764,Dearbhla Walsh
5273770,Mike Barker
5273772,Mike Barker
5273774,Dearbhla Walsh
5273778,Keith Gordon
5273780,Keith Gordon
5280330,David Slade
5289986,Dean White
5337978,Keith Gordon
5337984,Mimi Leder
5338010,Daniel Sackheim
5338022,Nicole Kassell
5338034,Carl Franklin
5338040,Craig Zobel
5338044,Mimi Leder
5340582,Dave Filoni
5342606,Sam Esmail
5344704,Sam Esmail
5344766,Sam Esmail
5344796,Sam Esmail
5345894,Sam Esmail
5347278,Sam Esmail
5347318,Sam Esmail
5347322,Sam Esmail
5347330,Sam Esmail
5349278,Anna Foerster
5352664,Barry Sonnenfeld
5362622,Lana Wachowski
5362626,Lana Wachowski
5362884,James McTeigue
5362906,James McTeigue
5365786,Lana Wachowski
5365788,James McTeigue
5365792,Dan Glass
5365796,Tom Tykwer
5365798,Lana Wachowski
5378852,Ryan Murphy
5419058,Daniel Minahan
5426278,Frederick E.O. Toye
5432614,James Strong
5436364,Jon Richards
5436364,Mark McQueen
5464026,Paul McGuigan
5483578,Stephen Daldry
5497778,Joe Wright
5509372,David Semel
5518974,Billy Gierhart
5534132,David Fincher
5537374,Nelson McCormick
5538198,Nelson McCormick
5540390,James Bamford
5540400,Jesse Warn
5540416,Philip Sgriccia
5540928,Dean White
5547512,Robert Singer
5547538,Philip Sgriccia
5554490,Vince Gilligan
5562080,Maja Vrvilo
5562088,Maja Vrvilo
5563360,Bill D'Elia
5564478,Guy Ferland
5565350,Daniel Grou
5570804,Peter Gould
5570894,David Wellington
5577002,Guy Ferland
5577008,Kevin Tancharoen
5577018,Kevin Tancharoen
5577024,Nelson McCormick
5579594,Vince Gilligan
5584048,Matthew Hastings
5584052,Andy Wolk
5584054,Gregory Smith
5584108,Gregory Smith
5584120,Ralph Hemecker
5584124,Armen V. Kevorkian
5584126,Stefan Pleszczynski
5584128,C. Kim Miles
5584130,J.J. Makaro
5584132,Kevin Smith
5584134,Dermott Downs
5584138,David McWhirter
5584142,James Bamford
5584144,Gregory Smith
5584146,Dermott Downs
5584148,Laura Belsey
5584150,John Behring
5584152,Gordon Verheul
5584154,James Bamford
5584158,Antonio Negret
5584160,Gregory Smith
5584166,Jesse Warn
5607500,Kristin Windell
5607508,Michael Schultz
5607510,Ken Shane
5607512,Kevin Tancharoen
5607516,J.J. Makaro
5607522,Wendey Stanzler
5607526,Mairzee Almas
5612280,Jean-Marc Vallée
5615568,Nathan Hope
5625510,David Grossman
5646582,Andrew Bernstein
5654088,Jeremy Podeswa
5655056,Peter Atencio
5655178,Mark Mylod
5665566,Craig Zobel
5665572,Vincenzo Natali
5665584,Adam Kane
5668382,Louis Shaw Milito
5668410,Rachel Talalay
5668412,Millicent Shelton
5668414,Harry Jierjian
5668416,Rob Hardy
5668418,Dermott Downs
5668420,Dermott Downs
5668422,Alexandra La Roche
5668424,Gregory Smith
5668430,Dermott Downs
5668432,Nina Lopez-Corrado
5668434,Tom Cavanagh
5668438,Hanelle M. Culpepper
5668440,David McWhirter
5668442,Michael A. Allowitz
5668534,Julie Plec
5668562,Louis Shaw Milito
5668566,Mairzee Almas
5668568,Ben Hernandez Bray
5668570,Karen Gaviola
5668572,Eagle Egilsson
5668574,Tara Nicole Weyr
5668576,Nathan Hope
5668578,Greg Beeman
5668580,Nathan Hope
5668582,Greg Beeman
5668584,Karen Gaviola
5668586,Alrick Riley
5669130,Richard Speight Jr.
5690490,Tom Shankland
5690496,Tom Shankland
5690500,Andy Goddard
5690506,Kari Skogland
5690514,Dearbhla Walsh
5690526,Jeremy Webb
5690528,Andy Goddard
5690534,Antonio Campos
5690538,Marc Jobst
5690544,Jim O'Hanlon
5690548,Kevin Hooks
5690552,Jet Wilkinson
5690560,Stephen Surjik
5699790,Donald Glover
5709230,James Watkins
5709234,Jakob Verbruggen
5709236,James Hawes
5709242,Dan Trachtenberg
5709250,Jodie Foster
5710974,Toby Haynes
5710976,John Hillcoat
5710978,Timothy Van Patten
5710984,David Slade
5714376,Gerardo Naranjo
5714386,Andrés Baiz
5714396,Andrés Baiz
5714398,Josef Kubota Wladyka
5714400,Josef Kubota Wladyka
5714402,Josef Kubota Wladyka
5714404,Gerardo Naranjo
5714406,Andrés Baiz
5714408,Andrés Baiz
5715192,Phil Churchward
5716756,Glen Winter
5719532,John Shiban
5719534,Thomas Schnauz
5719536,Daniel Sackheim
5719540,Keith Gordon
5719542,Thomas Schnauz
5719544,Minkie Spiro
5719546,Adam Bernstein
5728914,Lee Toland Krieger
5734500,Glenn Ficarra
5734500,John Requa
5748102,Bradley Buecker
5755998,David Caffrey
5760298,David Fincher
5770168,Jason Bateman
5773550,Jon Favreau
5775840,Mark Mylod
5775846,Matt Shakman
5775854,Matt Shakman
5775864,Alan Taylor
5775874,Jeremy Podeswa
5791266,Brendan Maher
5824790,Andrew Douglas
5824794,Andrew Douglas
5831628,Sam Esmail
5831630,Sam Esmail
5835712,Adam Kane
5835714,Akiva Goldsman
5839308,Jennifer Lynch
5848216,Lawrence Gough
5870994,Olatunde Osunsanmi
5870996,Lee Rose
5870998,Douglas Aarniokoski
5878604,Michael Schur
5880946,Kevin Bray
5884346,David Barrett
5888594,John Scott
5890578,Chris Byrne
5901734,David Wellington
5902120,Marc Jobst
5902962,Alexis Ostrander
5904036,Ed Fraiman
5915274,Marita Grabiak
5915284,Nelson Cragg
5915290,Angela Bassett
5915294,Elodie Keene
5916824,Jed Whedon
5924012,Ken Olin
5931646,Reed Morano
5931648,Reed Morano
5931652,Reed Morano
5931656,Kari Skogland
5937294,Mike Barker
5937924,Roger Kumble
5941434,Mike Barker
5943926,Floria Sigismondi
5943928,Floria Sigismondi
5943930,Kate Dennis
5943932,Kate Dennis
5953378,Joji
5956216,Steve Saint Leger
5960350,Karyn Kusama
5965956,Daniel Minahan
5970530,Sam Esmail
5974776,Jason Bateman
5985750,Lawrence Gough
5985752,Bill Anderson
5985754,Bill Anderson
5989942,Miguel Sapochnik
6009796,P.J. Pesce
6010608,Alik Sakharov
6011050,Jonathan Frakes
6011052,T.J. Scott
6011054,Hanelle M. Culpepper
6011058,Olatunde Osunsanmi
6020684,Matt Duffer
6020684,Ross Duffer
6020792,Matt Duffer
6020792,Ross Duffer
6020796,Shawn Levy
6020802,Shawn Levy
6020806,Andrew Stanton
6020808,Andrew Stanton
6020810,Rebecca Thomas
6020812,Matt Duffer
6020812,Ross Duffer
6020876,Matt Duffer
6020876,Ross Duffer
6021898,Daniel Sackheim
6021922,Ellen Kuras
6021926,Jason Bateman
6021928,Jason Bateman
6038952,Andrés Baiz
6038958,Andrés Baiz
6038962,Gabriel Ripstein
6038964,Gabriel Ripstein
6038966,Josef Kubota Wladyka
6038968,Josef Kubota Wladyka
6038970,Fernando Coimbra
6038972,Fernando Coimbra
6038974,Andrés Baiz
6038976,Andrés Baiz
6053616,David Fincher
6056650,David Caffrey
6059620,Alik Sakharov
6062916,Daniel Grou
6068824,Kit Lynch Robinson
6068824,Phil Churchward
6068828,Kit Lynch Robinson
6068828,Phil Churchward
6068832,Kit Lynch Robinson
6068832,Phil Churchward
6072390,Sarah Pia Anderson
6080222,Magnús Scheving
6081596,Daniel Grou
6082756,Alex Garcia Lopez
6085956,Glenn Ficarra
6085956,John Requa
6098130,George Tillman Jr.
6099382,Glenn Ficarra
6099382,John Requa
6110792,Michael Morris
6112292,Neil Marshall
6113642,David Fincher
6132782,Asif Kapadia
6137398,Bradley Buecker
6142646,Elizabeth White
6142668,Glenn Ficarra
6142668,John Requa
6143054,Noah Hawley
6144116,Liza Johnson
6156390,Greg Nicotero
6157742,Michael Uppendahl
6162934,Tim Mielants
6162936,Larysa Kondracki
6162942,Hiro Murai
6162944,Michael Uppendahl
6162948,Dennie Gordon
6179252,Michael Uppendahl
6181036,Dean White
6198638,Rosemary Rodriguez
6198656,Greg Nicotero
6198662,Dan Liu
6198668,Michael E. Satrazemis
6207930,John Polson
6208182,Karen Gaviola
6209126,Justin Anderson
6209130,Emma Napper
6214322,Sarah Harding
6223222,Sarah Harding
6223224,Ciaran Donnelly
6224692,Alan Yang
6227888,David Caffrey
6227890,David Caffrey
6227892,David Caffrey
6227900,David Caffrey
6243294,Richard J. Lewis
6243296,Vincenzo Natali
6243298,Richard J. Lewis
6243300,Lisa Joy
6243302,Craig Zobel
6243304,Tarik Saleh
6243306,Nicole Kassell
6243308,Uta Briesewitz
6243310,Stephen Williams
6243312,Frederick E.O. Toye
6250146,Charlie Palmer
6250158,Charlie Palmer
6255000,Jeff Woolnough
6305106,Ben Bolt
6305578,Baran bo Odar
6305624,Melina Matsoukas
6305630,Aziz Ansari
6315226,Ciaran Donnelly
6315228,Jeff Woolnough
6315232,Jeff Woolnough
6315234,Ben Bolt
6321280,Asif Kapadia
6321282,Tobias Lindholm
6321284,Tobias Lindholm
6325296,Larry Teng
6327118,Michael E. Satrazemis
6333372,Wayne Yip
6336800,Daniel Nettheim
6337078,Greg Nicotero
6337088,David Boyd
6337096,Michael E. Satrazemis
6337098,Greg Nicotero
6337102,Jeffrey F. January
6337114,Michael Slovis
6337116,Michael E. Satrazemis
6337120,Greg Nicotero
6340130,Daniel Nettheim
6340134,Wayne Yip
6340138,Rachel Talalay
6340142,Rachel Talalay
6403450,Glen Winter
6403458,James Bamford
6408626,Robert Duncan McNeill
6411858,Robin Wright
6411862,Robin Wright
6417466,Bradley Buecker
6439868,Uta Briesewitz
6439870,Glenn Ficarra
6439870,John Requa
6463872,Brendan Maher
6463874,Brendan Maher
6464550,Gregory Smith
6473702,Stefan Pleszczynski
6483038,Brannon Braga
6483046,James L. Conway
6483048,Jonathan Frakes
6493668,James Bamford
6533292,Karen Gaviola
6542604,Anne Walker Farrell
6542628,Aaron Long
6544020,Nick Hurran
6552820,Karen Gaviola
6552836,Eduardo Sánchez
6552852,Greg Beeman
6552906,Tara Nicole Weyr
6607748,Alex Graves
6619996,Nick Hurran
6633090,Dean White
6633682,Sam Esmail
6633686,Sam Esmail
6633688,Sam Esmail
6633692,Sam Esmail
6633696,Sam Esmail
6635194,Sam Esmail
6635200,Sam Esmail
6635210,Sam Esmail
6635212,Sam Esmail
6681358,Dean White
6684168,Jennifer Getzinger
6710704,Rachel Goldberg
6720042,Peter Hoar
6720048,Peter Hoar
6723482,Jon Cassar
6723680,Hiroyuki Tanaka
6723680,Masashi Koizuka
6723680,Tetsurô Araki
6731634,Alex Graves
6741582,Alexandra La Roche
6741584,Armen V. Kevorkian
6741588,Tom Cavanagh
6741590,Laura Belsey
6741594,David McWhirter
6741598,Dermott Downs
6741926,Lukas Ettlin
6741928,Jennifer Getzinger
6741930,Alex Garcia Lopez
6741932,Julian Holmes
6741934,Stephen Surjik
6741948,Sam Miller
6741950,Phil Chipera
6741962,Gregory Smith
6741964,Harry Jierjian
6746156,Philip Sgriccia
6746190,Robert Singer
6751280,David Farr
6785160,John Polson
6798708,Miguel Ángel Vivas
6803102,Kevin Hooks
6803124,Glen Morgan
6803156,Chris Carter
6803158,Darin Morgan
6803224,Glen Morgan
6807344,Jesús Colmenar
6816492,Alex Rodrigo
6816492,Jesús Colmenar
6845666,Tucker Gates
6849500,Mike Barker
6857118,Jonathan Entwistle
6858802,Lana Wachowski
6861936,Gregg Araki
6876642,Julian Jarrold
6878538,Jesse Bochco
6878624,Andy Goddard
6886400,Seth Gordon
6902346,Akiva Goldsman
6916926,Jonathan Entwistle
6916932,Jonathan Entwistle
6955104,Jeffrey Reiner
6968542,Rachel Talalay
7013298,Gregg Araki
7023382,Mike Flanagan
7050070,Karen Moncrieff
7073996,Minkie Spiro
7073998,Michelle MacLaren
7074002,Daniel Sackheim
7074006,John Shiban
7074010,Michael Morris
7074012,Andrew Stanton
7074020,Deborah Chow
7074022,Jim McKay
7074030,Adam Bernstein
7074032,Vince Gilligan
7080616,Greg Yaitanes
7083044,Lana Wachowski
7136940,Eliza Hittman
7155610,Lucy Tcherniak
7216108,Larry Teng
7228366,Dean White
7305776,Baran bo Odar
7305818,Baran bo Odar
7305820,Baran bo Odar
7305824,Baran bo Odar
7313308,Baran bo Odar
7313312,Baran bo Odar
7313316,Baran bo Odar
7313320,Baran bo Odar
7313322,Baran bo Odar
7318260,Uta Briesewitz
7340564,Uta Briesewitz
7375346,Larry Teng
7414986,Jessica Yu
7414990,Kyle Patrick Alvarez
7435238,Mike Barker
7435248,Mike Barker
7435256,Jeremy Podeswa
7435264,Mike Barker
7542168,Jamie Childs
7558994,Mark Tonderai
7578528,Mike Flanagan
7629358,Hiro Murai
7688206,Mike Flanagan
7689190,Mark Tonderai
7815916,Mike Flanagan
7901208,Greg Nicotero
7958030,Mike Flanagan
8160066,Mike Flanagan
8230772,Daisy von Scherler Mayer
8241368,Sheree Folkson
8241372,Sarah Paulson
8253126,Eagle Egilsson
8253134,Claudia Yarmy
8266826,Amy Winfrey
8457974,Lisa Demaine
8458056,Kevin Alejandro
