epizoda,reziser
0705230,Timothy Van Patten
0705231,Andy Wolk
0705236,Allen Coulter
0705237,Timothy Van Patten
0705238,Allen Coulter
0705239,Nick Gomez
0705240,Martin Bruestle
0705241,Lorraine Senna
0705243,John Patterson
0705247,Henry Bronchtein
0705248,Allen Coulter
0705249,John Patterson
0705250,Allen Coulter
0705253,John Patterson
0705255,Allen Coulter
0705256,Allen Coulter
0705260,Timothy Van Patten
0705263,John Patterson
0705264,Timothy Van Patten
0705266,Allen Coulter
0705269,Henry Bronchtein
0705270,Alan Taylor
0705272,Steve Buscemi
0705273,Timothy Van Patten
0705278,John Patterson
0705279,Allen Coulter
0705280,Timothy Van Patten
0705282,David Chase
0705285,Allen Coulter
0705288,Lee Tamahori
0705291,Allen Coulter
0705294,John Patterson
0705295,Timothy Van Patten
0705893,Trey Parker
0705899,Eric Stough
0705904,Trey Parker
0705906,Trey Parker
0705913,Trey Parker
0705928,Trey Parker
0705958,Eric Stough
0705971,Trey Parker
0705981,Matt Stone
0705981,Trey Parker
0705982,Matt Stone
0705982,Trey Parker
0705984,Trey Parker
0708414,Joseph Pevney
0708416,Joseph Pevney
0708418,Joseph Pevney
0708420,Vincent McEveety
0708424,Lawrence Dobkin
0708425,Marc Daniels
0708426,Vincent McEveety
0708429,John Newland
0708434,Joseph Pevney
0708438,Marc Daniels
0708439,Harvey Hart
0708446,Robert Sparr
0708447,Marc Daniels
0708455,Joseph Pevney
0708458,Joseph Sargent
0708460,Joseph Pevney
0708461,Marc Daniels
0708463,Leo Penn
0708465,Robert Gist
0708469,Marc Daniels
0708472,Marc Daniels
0708472,Robert Butler
0708473,Marc Daniels
0708478,Don McDougall
0708480,Joseph Pevney
0708483,Ralph Senensky
0708484,Michael O'Herlihy
0708486,James Goldstone
0708689,Les Landau
0708689,Russ Mayberry
0708691,Cliff Bole
0708696,Winrich Kolbe
0708698,Rob Bowman
0708699,Les Landau
0708704,Rob Bowman
0708713,Les Landau
0708732,Robert Lederman
0708758,Rob Bowman
0708782,Les Landau
0708785,Cliff Bole
0708786,Cliff Bole
0708803,Peter Lauritson
0708804,Richard A. Colla
0708807,Robert Scheerer
0708810,Paul Lynch
0708814,Jonathan Frakes
0708842,Rob Bowman
0708844,Robert Wiemer
0708845,David Carson
0713610,Guy Norman Bee
0713611,Peter Ellis
0713612,Kim Manners
0713613,Kim Manners
0713614,Allan Kroeker
0713615,David Jackson
0713616,Philip Sgriccia
0713617,Robert Singer
0713618,David Nutter
0713619,Paul Shapiro
0713620,Kim Manners
0713621,Kim Manners
0713622,Robert Duncan McNeill
0713623,Ken Girotti
0713624,David Nutter
0734550,Robert Parrish
0734555,Douglas Heyes
0734566,Mitchell Leisen
0734568,Douglas Heyes
0734580,James Sheldon
0734592,Allen Reisner
0734600,Richard Donner
0734609,Robert Parrish
0734612,Robert Florey
0734626,Mitchell Leisen
0734628,Douglas Heyes
0734644,Alvin Ganzer
0734656,Jack Smight
0734664,Ron Winston
0734667,Elliot Silverstein
0734682,Richard L. Bare
0734683,John Brahm
0734684,Richard L. Bare
0734689,Robert Stevens
0734690,Alvin Ganzer
0734692,Robert Stevens
0734693,Montgomery Pittman
0734814,Tim Hunter
0734815,David Lynch
0734816,Todd Holland
0734817,David Lynch
0734818,Lesli Linka Glatter
0734819,Lesli Linka Glatter
0734820,Tina Rathborne
0734821,Uli Edel
0734822,Caleb Deschanel
0734823,Todd Holland
0734824,David Lynch
0734825,Duwayne Dunham
0734826,David Lynch
0734827,Tim Hunter
0734828,Duwayne Dunham
0734830,Caleb Deschanel
0734831,Tina Rathborne
0734832,Diane Keaton
0734833,Caleb Deschanel
0734834,Lesli Linka Glatter
0734835,Mark Frost
0734836,Lesli Linka Glatter
0734837,Tim Hunter
0734838,Graeme Clifford
0734839,Stephen Gyllenhaal
0734840,Duwayne Dunham
0734841,Jonathan Sanger
0734842,James Foley
0734843,David Lynch
0749419,Steve Shill
0749423,Ernest R. Dickerson
0749424,Clement Virgo
0749425,Ed Bianchi
0749428,Ed Bianchi
0749429,Milcho Manchevski
0749430,Elodie Keene
0749432,Elodie Keene
0749433,Gloria Muzio
0749434,Joe Chappelle
0749435,Ernest R. Dickerson
0749436,Agnieszka Holland
0749437,Clement Virgo
0749438,Joe Chappelle
0749439,Robert F. Colesberry
0749441,Timothy Van Patten
0749443,Rob Bailey
0749445,Timothy Van Patten
0749446,Peter Medak
0749447,Brad Anderson
0749448,Clark Johnson
0749449,Steve Shill
0749450,Clark Johnson
0749451,Clark Johnson
0749452,Ed Bianchi
0751065,David Nutter
0751066,David Nutter
0751068,Rob Bowman
0751069,Rob Bowman
0751070,Allen Coulter
0751071,Gillian Anderson
0751074,R.W. Goodwin
0751075,Kim Manners
0751076,Michael W. Watkins
0751077,Michael Lange
0751078,Rob Bowman
0751080,Jim Charleston
0751081,Cliff Bole
0751083,David Nutter
0751085,David Nutter
0751086,Jerrold Freedman
0751089,Kim Manners
0751090,Peter Markle
0751091,Kim Manners
0751092,David Nutter
0751093,Nick Marck
0751094,Daniel Sackheim
0751095,Kim Manners
0751097,Joe Napolitano
0751099,Daniel Sackheim
0751100,Kim Manners
0751101,Brett Dowler
0751102,Kim Manners
0751103,Rob Bowman
0751104,Rob Bowman
0751105,Michael W. Watkins
0751106,Rob Bowman
0751107,Chris Carter
0751108,William A. Graham
0751109,Tucker Gates
0751110,Jim Charleston
0751111,Kim Manners
0751114,Rob Bowman
0751116,Fred Gerber
0751117,Stephen Surjik
0751119,Rob Bowman
0751120,Larry Shaw
0751121,James Whitmore Jr.
0751122,Kim Manners
0751124,Larry Shaw
0751125,David Nutter
0751126,Chris Carter
0751127,Kim Manners
0751128,Rob Bowman
0751129,Rob Bowman
0751130,R.W. Goodwin
0751131,Jerrold Freedman
0751132,Kim Manners
0751133,Tucker Gates
0751135,R.W. Goodwin
0751136,David Duchovny
0751137,Kim Manners
0751138,Chris Carter
0751139,Kim Manners
0751140,Kim Manners
0751141,David Nutter
0751144,David Nutter
0751145,Vince Gilligan
0751147,Rob Bowman
0751149,Kim Manners
0751150,Rob Bowman
0751151,Daniel Sackheim
0751152,David Nutter
0751153,Kim Manners
0751154,David Nutter
0751156,Kim Manners
0751158,Rob Bowman
0751159,Kim Manners
0751160,Thomas J. Wright
0751161,Kim Manners
0751162,Michael Lange
0751163,Kim Manners
0751164,James Wong
0751165,Rob Bowman
0751166,David Nutter
0751169,R.W. Goodwin
0751170,Rob Bowman
0751172,Kim Manners
0751173,Rob Bowman
0751174,Rob Bowman
0751175,Rob Bowman
0751177,Kim Manners
0751180,Rob Bowman
0751183,Rob Bowman
0751184,Kim Manners
0751185,Win Phelps
0751187,R.W. Goodwin
0751188,Kim Manners
0751191,David Nutter
0751193,David Nutter
0751195,Daniel Sackheim
0751197,Kim Manners
0751199,Ralph Hemecker
0751201,Michael Katleman
0751202,David Nutter
0751204,Rob Bowman
0751205,Cliff Bole
0751206,James A. Contner
0751207,William A. Graham
0751208,Harry Longstreet
0751211,Jim Charleston
0751212,Rob Bowman
0751213,R.W. Goodwin
0751214,Jim Charleston
0751215,Rob Bowman
0751216,Rob Bowman
0751217,Rob Bowman
0751218,Kim Manners
0751219,Thomas J. Wright
0751220,Kim Manners
0751221,R.W. Goodwin
0751222,Michael Vejar
0751223,R.W. Goodwin
0751224,R.W. Goodwin
0751225,Rob Bowman
0751227,Thomas J. Wright
0751228,Daniel Sackheim
0751229,Joe Napolitano
0751230,Chris Carter
0751231,Rob Bowman
0751232,Chris Carter
0751233,Kim Manners
0751234,Chris Carter
0751239,David Duchovny
0751240,Rob Bowman
0751244,Bryan Spicer
0751245,Michael W. Watkins
0751246,David Nutter
0751249,Chris Carter
0751251,Kim Manners
0751252,Kim Manners
0751254,Michael Lange
0751255,Rob Bowman
0751256,Kim Manners
0751259,Kim Manners
0751260,Rob Bowman
0751264,Michael W. Watkins
0751265,Michael Lange
0751266,Kim Manners
0756398,Rich Moore
0756399,Gregg Vanzo
0756399,Kent Butterworth
0756446,Euros Lyn
0756447,Graeme Harper
0756448,James Strong
0756449,Graeme Harper
0756450,Graeme Harper
0756451,Euros Lyn
0756481,David Schwimmer
0756482,Kevin Bright
0756483,Kevin Bright
0756484,Gary Halvorson
0756504,Pamela Fryman
0756593,David Silverman
0756934,Roxann Dawson
0757023,Wesley Archer
0757061,Takashi Miike
0757186,Michael Cuesta
0757750,Peter Ellis
0758090,Stephen Williams
0758177,Chris Long
0758370,Trey Parker
0759572,David Semel
0760469,Paul Shapiro
0760776,Pamela Fryman
0761208,Greg Yaitanes
0761209,Fred Gerber
0761210,Sergio Mimica-Gezzan
0761211,Kevin Hooks
0761212,Bobby Roth
0761284,Trey Parker
0761289,Trey Parker
0761292,Trey Parker
0761294,Trey Parker
0761316,Philip Sgriccia
0763024,David Silverman
0763044,Trey Parker
0763050,Trey Parker
0763064,Chris Long
0763065,Whitney Ransick
0764076,Jack Bender
0766171,Dan Zeff
0767438,Wesley Archer
0767486,Tony Wharmby
0768678,Chris Loudon
0769314,Karen Gaviola
0769383,Dean White
0769424,Eric Stough
0770626,Charles McDougall
0771860,Stephen Williams
0771861,Eric Laneuville
0772002,Robert Singer
0772457,James Strong
0773645,Jim Reardon
0773647,Jim Reardon
0774235,Fred Gerber
0774236,Deran Sarafian
0774239,Pamela Fryman
0775325,Kim Manners
0775431,James Burrows
0779006,Matt Earl Beesley
0779496,Dario Argento
0779510,Victor Nelli Jr.
0779667,Steven Dean Moore
0782394,Paul A. Edwards
0782399,John Landis
0782518,Guy Ferland
0784695,Jack Bender
0785280,Michael Cuesta
0785532,John Carpenter
0785533,Stuart Gordon
0786169,Deran Sarafian
0786244,Trey Parker
0787373,David Shore
0788623,Pamela Fryman
0789384,Edward Allen Bernero
0789620,Jace Alexander
0793130,Jack Bender
0793257,Trey Parker
0793926,Daniel Attias
0795874,Greg Daniels
0796140,Charles McDougall
0796524,John Michel
0796550,Ernest R. Dickerson
0796551,Joe Chappelle
0797601,Alastair Fothergill
0797602,Alastair Fothergill
0797603,Alastair Fothergill
0799143,Deran Sarafian
0799198,Stephen Williams
0799305,Alastair Fothergill
0799332,Kevin Hooks
0799356,Trey Parker
0800604,Ken Kwapis
0801608,Pamela Fryman
0805419,Tobe Hooper
0818015,Daniel Attias
0818059,Alastair Fothergill
0823912,Robert Lieberman
0824887,Robert Lieberman
0827573,Euros Lyn
0828219,Deran Sarafian
0828745,Michael Cuesta
0829062,Philip Sgriccia
0829063,Kim Manners
0831047,Michael Lembeck
0831990,Kevin Bright
0831991,Kevin Bright
0833098,Joe Dante
0835248,Robert Singer
0836216,Newton Thomas Sigel
0836899,Tony Goldwyn
0836956,Jack Bender
0837741,Kim Manners
0839360,Kevin Hooks
0840616,Stephen Williams
0843217,Bobby Roth
0845343,Bobby Roth
0847409,Peter O'Fallon
0847410,Bryan Spicer
0847791,Paul A. Edwards
0849997,Graham Linehan
0850173,Trey Parker
0850964,Stephen Williams
0851031,Tim Iacofano
0855641,Kim Manners
0858000,Pamela Fryman
0859272,Steve Shill
0859273,Tony Goldwyn
0859444,Ken Kwapis
0859555,Mike Rohl
0861280,Vincent Misiano
0863640,Pamela Fryman
0863695,Jack Bender
0865115,Pamela Fryman
0865197,Eric Laneuville
0866188,Pamela Fryman
0866270,Sergio Mimica-Gezzan
0866271,Kevin Hooks
0866567,Adam Davidson
0866568,Michael Cuesta
0866569,Keith Gordon
0868440,Greg Daniels
0868625,Steve Boyum
0869673,Rob Greenberg
0873024,Pamela Fryman
0875360,Pamela Fryman
0876831,Dwight H. Little
0877058,Michael Cuesta
0878590,Robert Singer
0882544,Greg Yaitanes
0882545,Karen Gaviola
0883770,Tucker Gates
0883872,Rachel Talalay
0885871,Pamela Fryman
0885872,Pamela Fryman
0888817,Dominic Polcino
0888817,James Purdum
0888817,Peter Shin
0890836,Charles Beeson
0891077,Stephen Williams
0892578,Pamela Fryman
0894520,Ken Whittingham
0897111,Pamela Fryman
0900686,Bobby Roth
0902016,Juan José Campanella
0904645,Pamela Fryman
0905875,Alastair Fothergill
0905876,Alastair Fothergill
0905877,Alastair Fothergill
0906371,Gwyneth Horder-Payton
0908674,Harold Ramis
0909711,Kevin Hooks
0913743,Eric Laneuville
0921562,Jesse Bochco
0921622,Kim Manners
0922226,Bobby Roth
0924673,Rob Greenberg
0928284,Jack Bender
0928317,Dwight H. Little
0933496,Rob Greenberg
0934263,Nelson McCormick
0936198,Stephen Williams
0937129,Will Mackenzie
0937879,Greg Daniels
0939444,Bradford May
0940288,Trey Parker
0940441,J. Miller Tobin
0941349,Guy Norman Bee
0942145,Philip Sgriccia
0942528,Katie Jacobs
0942786,Charles Beeson
0943657,Pamela Fryman
0946316,Pamela Fryman
0947105,Michael Rymer
0948344,Trey Parker
0950189,Allan Arkush
0954401,Kevin Bright
0954439,Paris Barclay
0959184,Bobby Roth
0959403,Paul A. Edwards
0959621,Vince Gilligan
0959976,Kim Manners
0963626,Vincent Misiano
0964436,Philip Sgriccia
0964922,Joss Whedon
0965937,Steve Shill
0966112,Pamela Fryman
0966362,Harold Ramis
0968992,Jack Bender
0969965,Pamela Fryman
0972484,Bobby Roth
0974324,Kevin Hooks
0974728,Charlie Palmer
0974729,Charlie Palmer
0977179,Clark Johnson
0977186,Joe Chappelle
0978049,Pamela Fryman
0979594,Stephen Williams
0979595,Frederick E.O. Toye
0979596,Karen Gaviola
0979597,Jack Bender
0979770,Timothy Van Patten
0982196,Pamela Fryman
0983623,Jeffrey Blitz
0987713,Robert Singer
0987714,Kim Manners
0987715,Eric Kripke
0988050,Stephen Williams
0988307,Allan Arkush
0988309,Paul A. Edwards
0992243,Eric Laneuville
0992244,Bobby Roth
0993186,James Strong
0993922,Michael Rymer
0994242,Elodie Keene
0994245,Pamela Fryman
0994348,Jack Bender
0994349,Stephen Williams
0994350,Paul A. Edwards
0994351,Stephen Williams
0994352,Jack Bender
0994359,Stephen Williams
0994363,Jack Bender
0994364,Stephen Williams
0994365,Jack Bender
0994366,Eric Laneuville
0994367,Stephen Semel
0994368,Stephen Williams
0994369,Jack Bender
0994491,Kevin Hooks
0994494,Kevin Hooks
0994495,Nelson McCormick
0994496,Bobby Roth
0994496,Kevin Hooks
0994502,Bobby Roth
